Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
SHEROES,"E-Commerce, Mobile Apps, Social Network, Women's","Delhi, Delhi, India",Largest women-only social platform accessible via Sheroes.com and the SHEROES app.,$1M to $10M,Active,2013,care@sheroes.in,—,"Apps, Commerce and Shopping, Community and Lifestyle, Internet Services, Mobile, Software",4,"Sairee Chahal, Satyadeep Karnati, Siddhartha Ahluwalia, Sowrabh N R S",101-250,4,—,"$2,571,942","$2,571,942",—,—,"2,322",-22.18%,-67.42%,—,115
Foodcloud,"Apps, E-Commerce, Food and Beverage, Food Delivery, Internet, Marketplace, Travel","Badarpur, Delhi, India",A marketplace for truly homemade food without having to cook it.,—,Active,2014,email@foodcloud.in,Seed,"Apps, Commerce and Shopping, Food and Beverage, Internet Services, Software, Transportation, Travel and Tourism",3,"Sanjhi Rajgarhia, Shamit Khemka, Vedant Kanoi",11-50,8,Seed,"$565,350","$602,142",—,—,93,-90.76%,-97.64%,0,0
Nautilus Mobile,Mobile,"Hyderabad, Andhra Pradesh, India",Specializes in mobile game development for smartphones and tablets.,$1M to $10M,Active,2013,archana.puri@nautilusmobile.com,M&A,Mobile,—,—,11-50,1,M&A,"$5,400,000","$5,400,000",—,—,"240,171",24.84%,-28.91%,—,91
Quickshift,"E-Commerce, Fleet Management, Logistics, Warehousing","Pune, Maharashtra, India",Provides warehousing and e-commerce fulfillment services along with fleet support for distribution.,Less than $1M,Active,2014,info@quickshift.in,Seed,"Commerce and Shopping, Transportation",1,Anshul Goenka,51-100,3,Seed,"₹59,200,000","₹59,200,000",Growing,Medium,"149,557",2908.59%,-83.75%,—,52
SparesHub,"Automotive, E-Commerce","Pune, Maharashtra, India",An online store for buying car spare parts quickly and easily in India.,$1M to $10M,Active,2013,contact@spareshub.com,—,"Commerce and Shopping, Transportation",2,"Arijit Chakraborty, Tapas Gupta",51-100,3,—,"$1,275,178","$1,275,178",—,—,"33,308",742.60%,-83.59%,—,43
goStops,"Hospitality, Travel, Travel Accommodations, Travel Agency","Delhi, Delhi, India",A chain of travelers' hostels focusing on social living and experiences.,$1M to $10M,Active,2013,hello@gostops.com,Seed,Travel and Tourism,2,"Pallavi Agarwal, Pankaj Parwanda",51-100,4,Seed,"$2,000,000","$2,000,000",Growing,—,"41,958",-60.36%,-22.53%,—,282
Nuvepro,"Cloud Storage, CRM, Information Technology, Software, Web3","Bangalore, Karnataka, India",Provides Hands On Labs for Training.,$1M to $10M,Active,2014,info@nuvepro.com,—,"Blockchain and Cryptocurrency, Information Technology, Internet Services, Sales and Marketing, Software",2,"Giridhar L V, Janakiraman Srinivasan",51-100,2,—,"$922,872","$922,872",Growing,—,"6,975",-32.33%,32.86%,—,"1,690"
Kerovit,"Architecture, Building Material, Manufacturing","New Delhi, Delhi, India","Manufacturer of faucets, showers, hand showers, basins, toilets",$1M to $10M,Active,2014,info@kerovit.com,—,"Manufacturing, Real Estate",1,Paresh Patel,11-50,1,—,"₹645,000,000","₹645,000,000",—,—,"5,911",-96.15%,-31.25%,—,495
Payswiff,"E-Commerce, Financial Services, FinTech, Mobile, Mobile Payments, Point of Sale, Software","Hyderabad, Andhra Pradesh, India",Omni-channel transactions solution provider to enterprises,Less than $1M,Active,2013,support@payswiff.com,—,"Commerce and Shopping, Financial Services, Mobile, Payments, Software",5,"Anil Bharadwaj, Krishna Kishore, Maulik Shah, Priti Shah, Ravi Kiran",101-250,6,M&A,"$10,723,000","$10,723,000",Growing,—,"19,693",-53.62%,-12.13%,—,"1,181"
Tessol,"Energy Efficiency, Logistics, Supply Chain Management","Mumbai, Maharashtra, India",Sustainable cold-chain technology solutions for logistics,$1M to $10M,Active,2013,info@tessol.in,—,"Energy, Sustainability, Transportation",1,Rajat Gupta,11-50,5,—,"₹75,000,000","₹75,000,000",—,—,177,-69.38%,64.53%,—,0
Fitternity,"Fitness, Health Care, Wellness","Pune, Maharashtra, India",Largest online fitness platform in India,$1M to $10M,Active,2013,info@fitternity.com,—,"Health Care, Sports",2,"Jayam Vora, Neha Motwani",101-250,6,M&A,"$8,500,000","$8,500,000",Growing,Medium,"55,575",65.51%,-87.50%,—,15
Taskbob,"Beauty, E-Commerce, Professional Services, Software","Mumbai, Maharashtra, India",Instant home services provider,$1M to $10M,Closed,2014,support@taskbob.com,—,"Commerce and Shopping, Consumer Goods, Other, Software",2,"Abhiroop Medhekar, Aseem Khare",1-10,3,Early Stage Venture,"$5,700,000","$5,750,000",—,—,—,—,—,—,—
Moonfrog Labs,"Gaming, Mobile, Video Games","Bangalore, Karnataka, India",Independent game studio focusing on board and social card games,$1M to $10M,Active,2013,Contact@moonfroglabs.com,—,"Gaming, Mobile",5,"Ankit Jain, Dimpalkumar Maisuriya, Kumar Puspesh, Oliver Jones, Tanay Tayal",101-250,2,M&A,"$16,000,000","$16,000,000",Growing,—,"208,351",-74.17%,-93.20%,—,69
GetSetHome,"Internet, Property Management, Real Estate","Andheri, Maharashtra, India",Platform for managed & shared accommodation for long-term stays,—,Active,2014,contact.us@getsethome.com,—,"Internet Services, Real Estate",3,"Junaid Ahmed, Muddassar Virani, Shabnam Kadwani",11-50,2,Seed,"₹93,000,000","₹93,000,000",Growing,High,"71,773",22%,912.20%,—,415
nurserylive,"E-Commerce, Home and Garden, Retail","Pune, Maharashtra, India",Plant nursery store offering a wide range of natural plants and accessories,$10M to $50M,Active,2014,care@nurserylive.com,—,"Commerce and Shopping, Real Estate",2,"Nandu Singh, Nidhi Singh",51-100,1,Seed,"₹25,900,000","₹25,900,000",Growing,—,"254,269",16.96%,-7.89%,—,245
ABI Health,"Health Care, Medical, Software","Bangalore, Karnataka, India",Healthcare information from a variety of sources,$10M to $50M,Active,2013,info@abi-health.com,—,"Health Care, Software",2,"AJIT VEERAPPAN, BALAJI SUNDARARAJAN",51-100,2,Private Equity,"$11,500,000","$11,500,000",Growing,High,177,-8.76%,-88.63%,—,0
Aibono,"Agriculture, Analytics, Farming, Information Technology, Predictive Analytics","Bangalore, Karnataka, India","Uses data instruments, predictive analytics, and process improvements to help farmers improve yields.",$1M to $10M,Closed,2014,contact@airwood.in,—,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Software",1,Vivek Rajkumar,51-100,6,Seed,"$5,508,597","$5,508,597",—,—,—,—,—,—,—
Stylox,"Apparel, Fashion, Manufacturing","Gurgaon, Haryana, India",Manufactures denim jeans and a range of apparel and accessories,$1M to $10M,Active,2013,info@stylox.co.in,—,"Clothing and Apparel, Design, Manufacturing",—,—,11-50,1,Seed,"₹20,000,000","₹20,000,000",—,—,93,47.62%,-93.47%,—,0
Ozone Overseas,"Architecture, Construction, Hardware","New Delhi, Delhi, India",Architectural hardware solutions provider,$500M to $1B,Active,2014,crot4dofficial@gmail.com,—,"Hardware, Real Estate",1,Alok Agarwal,1001-5000,2,Private Equity,"₹3,100,000,000","₹3,100,000,000",Growing,High,"2,329",473.65%,1181.97%,0,25
Myra,"Apps, Health Care, Pharmaceutical","Bangalore, Karnataka, India",Makes buying medicines fast and efficient,$1M to $10M,Closed,2014,help@myramed.in,—,"Apps, Health Care, Software",2,"Anirudh Coontoor, Faizan Aziz",101-250,3,M&A,"₹128,750,000","₹128,750,000",—,—,53,-68.82%,—,—,0
Vulcan Express,"Delivery Service, E-Commerce, Logistics, Packaging Services, Supply Chain Management","Gurgaon, Haryana, India",Offers end-to-end logistics and supply chain solutions,$10M to $50M,Closed,2013,feedback@vulcanxpress.com,—,"Administrative Services, Commerce and Shopping, Transportation",2,"Deepak Rishi, Sunder Lal Garg",101-250,2,M&A,"$29,633,609","$29,633,609",—,—,—,—,—,—,—
Glib.AI,"B2B, Enterprise Software, Information Technology, Machine Learning, SaaS, Software","Mumbai, Maharashtra, India",Helps enterprises transform unstructured data into actionable insights,—,Active,2013,admin@glib.ai,—,"Design, Real Estate",3,"Mohit Shah, Purav Parekh, Samit Shah",11-50,1,M&A,"$5,000,000","$5,000,000",—,—,270,-82.73%,602.89%,—,"2,917"
Quick Smart Wash,"Health Care, Hospitality, Laundry and Dry-cleaning","Jaipur, Rajasthan, India",Provides self-service laundry and linen management for healthcare and hospitality sectors,$1M to $10M,Active,2013,info@quicksmartwash.com,—,"Clothing and Apparel, Health Care, Travel and Tourism",—,—,501-1000,1,Early Stage Venture,"₹400,000,000","₹400,000,000",Growing,High,354,-87.22%,154.20%,—,0
HomeLane,"Home Decor, Home Improvement, Interior Design","Bangalore, Karnataka, India",Provides personalized and customized home designs,$1M to $10M,Active,2014,hello@homelane.com,—,,4,"Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram",1001-5000,14,—,"$132,529,111","$152,042,725",Growing,Medium,"159,671",-44.92%,-56.39%,—,157
Lookup,"Apps, E-Commerce, Internet, Local Business, Messaging","Bengaluru, Karnataka, India",Messaging app that helps consumers chat with local businesses or shops,—,Closed,2014,info@lookup.to,—,"Apps, Commerce and Shopping, Information Technology, Messaging, Software",1,Deepak Ravindran,101-250,3,M&A,"$5,882,000","$5,882,000",—,—,138,—,—,—,0
Docplexus,"Clinical Trials, Health Care, Internet, Medical Device","Pune, Maharashtra, India",Online platform for doctors to communicate with peers and other healthcare providers,$10M to $50M,Active,2014,info@docplexus.in,—,"Health Care, Internet Services",1,Phanish Chandra,51-100,1,Seed,"₹46,000,000","₹46,000,000",—,—,"36,637",346.57%,492.93%,—,587
JR Compliance and Testing Labs,"Compliance, Consulting, Information Technology, Professional Services, Service Industry","New Delhi, Delhi, India",Top Business Compliance Company in India dealing in Testing-related services,$10M to $50M,Active,2013,info@jrcompliance.com,—,"Information Technology, Professional Services",1,Rishikesh Mishra,101-250,2,Early Stage Venture,"$15,000,000","$15,000,000",—,—,"2,414",-47.68%,-51.47%,—,149
iGenetic Diagnostics,"Health Care, Health Diagnostics","Mumbai, Maharashtra, India",Comprehensive diagnostics laboratory covering a range of pathology tests,$1M to $10M,Active,2013,—,—,Health Care,4,"Arunima Patel, Homer Paneri, Madhusudan Sharma, Siddharth Patodia",1-10,2,M&A,"$20,485,756","$20,485,756",—,—,"92,374",-0.16%,56.88%,—,11
GreedyGame,"Advertising, Advertising Platforms, Digital Marketing, Mobile Advertising, Software","Bangalore, Karnataka, India",All-in-one solution for app monetization and user acquisition,$1M to $10M,Active,2013,info@greedygame.com,—,"Advertising, Sales and Marketing, Software",2,"Arink Verma, Arpit Jain",51-100,4,—,"$560,000","$1,160,000",Growing,—,"32,864",1098.98%,-92.75%,—,28
EnerComp Solutions,"Artificial Intelligence (AI), Drone Management, Drones, Manufacturing","Ahmedabad, Gujarat, India","Drone manufacturing, services, and AI tech startup",—,Active,2013,—,—,"Artificial Intelligence (AI), Consumer Electronics, Hardware, Manufacturing, Software",1,Jatin Patel,11-50,2,Seed,"₹41,000,000","₹41,000,000",—,—,"1,356",-58.06%,-86.99%,—,275
Voiro,"Advertising, Cyber Security, Information Technology, Management Information Systems, Publishing, Social Media","Bengaluru, Karnataka, India",All-in-one revenue management suite for ad-led digital publishers across media,$1M to $10M,Active,2014,contact@voiro.com,—,"Advertising, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Privacy and Security, Sales and Marketing",2,"Anand Gopal, Kavita Shenoy",11-50,2,Seed,"$2,161,428","$2,161,428",—,—,"1,302",177.61%,-56.18%,—,294
Grab,"Delivery, Enterprise Software, Logistics, Supply Chain Management","Mumbai, Maharashtra, India",Last-mile logistics service for businesses and enterprises,$100M to $500M,Active,2014,info@grab.in,—,"Administrative Services, Software, Transportation",3,"Jignesh Patel, Nishant Vora, Pratish Sanghvi",1001-5000,5,M&A,"$7,294,000","$7,294,000",—,—,"362,278",-11.86%,-29.24%,—,121
AgriApp Technologies,"Agriculture, AgTech, Apps, Farming, Information and Communications Technology (ICT), Information Technology, Internet of Things","Bengaluru, Karnataka, India",IT and IOT enabled technology company providing services in agriculture and food sectors,—,Active,2014,support@agriapp.com,—,"Agriculture and Farming, Apps, Information Technology, Internet Services, Software",1,Basavaraj Girennavar,11-50,1,Seed,"₹10,000,000","₹10,000,000",Growing,—,981,-73.46%,-2.44%,—,40
Chizel,"3D Printing, Manufacturing, Product Design","Pune, Maharashtra, India",World's most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,$1M to $10M,Closed,2014,social@chizel.io,—,"Design, Manufacturing",3,"Devang Saini, Ravi Ranjan, Yash Rane",11-50,2,M&A,"₹72,200,000","₹72,200,000",—,—,—,—,—,—,—
Welcome Cure,"Alternative Medicine, Health Care, Medical, mHealth, Personal Health","Mumbai, Maharashtra, India","World's largest homeopathic health treatment portal, treating over 100 diseases",—,Active,2014,askme@welcomecure.com,—,"Health Care, Mobile",2,"Jawahar J. Shah, Punit Desai",51-100,3,Seed,"$6,481,217","$6,481,217",Growing,High,"13,476",61.31%,166.56%,—,"1,738"
Absolute Barbecues,"Food and Beverage, Hotel, Restaurants","Hyderabad, Andhra Pradesh, India","Restaurant serving grilled meat, seafood, and other food products",$1M to $10M,Active,2013,celebrations@absolute-barbecue.com,—,"Food and Beverage, Travel and Tourism",1,Prosenjit Roy Choudhury,251-500,2,Early Stage Venture,"$24,100,000","$24,100,000",Growing,Medium,"12,648",1343.84%,-30.88%,—,"1,090"
Bounce,"Last Mile Transportation, Recreational Vehicles, Rental, Ride Sharing","Bangalore, Karnataka, India",Scooter rentals for transportation,$1M to $10M,Active,2014,customer-support@wickedride.com,—,"Commerce and Shopping, Transportation",3,"Anil G, Varun Agni, Vivekananda Hallekere",1001-5000,10,Late Stage Venture,"$216,203,328","$234,156,785",—,—,97,-74.06%,70.10%,—,0
Jobspire,"Computer, Employment, Software","Bengaluru, Karnataka, India",Visual and experiential job search platform to help Indians find a job they'll truly love,$1M to $10M,Closed,2014,support@jobspire.net,—,"Consumer Electronics, Hardware, Professional Services, Software",4,"Kartik Luke Singh, Mohak Dhingra, Sandesh Kini, Varun Mayya",1-10,1,M&A,"$262,000","$262,000",—,—,—,—,—,—,—
GamingMonk,"eSports, Gaming, Online Games, Video Games","New Delhi, Delhi, India","eSports gaming company based out of New Delhi, India",$1M to $10M,Closed,2014,info@gamingmonk.com,—,"Gaming, Sports",2,"Abhay Sharma, Ashwin Haryani",11-50,3,M&A,"$695,481","$695,481",Growing,Medium,107,—,—,—,0
Innovcare Lifesciences,"Biotechnology, Health Care, Information Technology","Mumbai, Maharashtra, India",Healthcare service provider,$10M to $50M,Active,2014,info@innovcare.in,—,"Biotechnology, Health Care, Information Technology, Science and Engineering",4,"Chandan Rajmane, Dipin Varma, Lalit Wadhawan, Poonam Wadhawan",251-500,2,Private Equity,"₹450,000,000","₹450,000,000",—,—,—,—,—,—,—
Any Time Loan,"Credit, Finance, Financial Services, FinTech, Lending","Hyderabad, Andhra Pradesh, India",Peer-to-peer lending platform,Less than $1M,Active,2014,info@anytimeloan.in,—,"Financial Services, Lending and Investments",1,Keerthi Kumar Jain,51-100,4,Early Stage Venture,"$6,261,461","$6,261,461",—,—,—,—,—,—,—
TinyOwl,"Apps, E-Commerce, Food and Beverage, Information Technology, Mobile","Mumbai, Maharashtra, India",Location-based mobile application for ordering food,$100M to $500M,Active,2014,query@tinyowl.com,—,"Apps, Commerce and Shopping, Food and Beverage, Information Technology, Mobile, Software",5,"Gaurav Choudhary, Harshvardhan Mandad, Saurabh Goyal, Shikhar Paliwal, Tanuj Khandelwal",501-1000,3,M&A,"$26,500,000","$26,500,000",—,—,93,—,—,—,1
Juicy Chemistry,"Beauty, Health Care","Coimbatore, Tamil Nadu, India",Juicy Chemistry operates as an eponymous consumer brand.,Less than $1M,Active,2014,—,—,"Consumer Goods, Health Care",2,"Megha Desai Asher, Pritesh Asher",1-10,3,—,"$6,950,000","$6,950,000",Growing,Medium,"63,569",38.78%,-79.82%,—,160
NightStay,"E-Commerce Platforms, Tourism, Travel","New Delhi, Delhi, India",NightStay is a last minute same day hotel booking app.,—,Closed,2014,help@nightstay.in,—,"Commerce and Shopping, Internet Services, Travel and Tourism",2,"Deepak Negi, Nasr Khan",1-10,3,—,"$799,362","$799,362",—,—,—,—,—,—,—
The Souled Store,"Apparel, E-Commerce, Fashion, Lifestyle, Retail","Mumbai, Maharashtra, India",The Souled Store is an online retailer that offers pop culture merchandise and apparel for fans.,$1M to $10M,Active,2013,connect@thesouledstore.com,Late Stage Venture,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",4,"Aditya Sharma, Harsh Lal, Rohin Samtaney, Vedang Patel",251-500,5,—,"$29,430,444","$29,430,444",Growing,High,"6,371,652",34.16%,-16.53%,—,313
BigCat Wireless,Wireless,"Chennai, Tamil Nadu, India",BigCat Wireless focuses on developing innovative solutions in the Wireless space.,$1M to $10M,Active,2013,—,—,"Hardware, Mobile",1,Kannan G.,11-50,1,—,"₹225,000,000","₹225,000,000",—,—,—,—,—,—,—
ShieldSquare,"Analytics, Cyber Security, Information Technology, Internet, SaaS, Software","Bangalore, Karnataka, India",ShieldSquare helps online portals to protect against web scraping by bots run by competitors and unauthorized 3rd parties.,—,Closed,2013,info@shieldsquare.com,—,"Data and Analytics, Information Technology, Internet Services, Privacy and Security, Software",5,"Jyoti Kakatkar, Pavan Thatha, Rakesh Thatha, Srikanth Konijeti, Vasanth Kumar Gopalakrishnan",11-50,6,—,"$1,930,000","$1,930,000",—,—,—,—,—,—,—
SolarWorld Energy Solutions,"Energy, Renewable Energy, Solar","New Delhi, Delhi, India","SolarWorld Energy Solutions is an energy-saving company that designs, sells, and installs solar electric equipment.",$1M to $10M,Active,2013,info@worldsolar.in,—,"Energy, Natural Resources, Sustainability",—,—,11-50,1,—,"₹1,100,000,000","₹1,100,000,000",Growing,High,722,270.26%,445.83%,—,131
GoldVIP Technology Solutions (Crown-it),"Mobile Apps, Retail, Software","Haryana, Haryana, India",Crown It is a mobile app which is set to revolutionize retail business in India.,$10M to $50M,Active,2014,info@goldvip.in,M&A,"Apps, Commerce and Shopping, Mobile, Software",3,"Arvind Saini, Ashish Munjal, Sameer Grover",101-250,4,—,"$9,500,000","$9,500,000",—,—,"511,718",235.90%,-67.20%,—,184
Freight Tiger,"Automotive, Logistics, Transportation","Mumbai, Maharashtra, India","Freight Tiger provides Simple, Efficient and Transparent Freight Transactions.",$10M to $50M,Active,2014,info@freighttiger.com,M&A,Transportation,1,Swapnil Shah,51-100,4,—,"₹2,529,000,000","₹2,529,000,000",Growing,—,"41,685",85.28%,-79.27%,—,136
ZO Rooms,"Hospitality, Leisure, Travel","New Delhi, Delhi, India",ZO Rooms is India's Fastest Growing Chain of Standardized Short Stay Accommodations with 600+ properties across 40 cities.,$10M to $50M,Active,2014,zo@zorooms.com,Early Stage Venture,"Community and Lifestyle, Travel and Tourism",7,"Abhishek Bhutra, Akhil Malik, Chetan Chauhan, Dharamveer Chauhan, Paavan Nanda, Siddharth Janghu, Tarun Tiwari",251-500,2,—,"$47,000,000","$47,000,000",—,—,444,—,—,—,0
RoofandFloor,"Property Management, Real Estate, Residential","Bengaluru, Karnataka, India",RoofandFloor is a real estate company that offers home-buying services.,$1M to $10M,Active,2014,support@roofandfloor.com,—,Real Estate,1,Gowri Shankar Nagarajan,51-100,2,—,"₹450,000,000","₹450,000,000",—,—,—,—,—,—,—
Navitas Solar,"Energy, Manufacturing, Solar","Surat, Gujarat, India",Navitas Solar is a solar panel manufacturing company that provides renewable energy source solutions.,—,Active,2013,info@navitassolar.com,—,"Energy, Manufacturing, Natural Resources, Sustainability",2,"Saurabh Aggarwal, Vineet Mittal",251-500,1,—,"$5,000,000","$5,000,000",Growing,—,"2,094",84.33%,371.78%,—,769
Yostra Labs,"Diabetes, Health Care, Manufacturing, Medical Device","Bengaluru, Karnataka, India",The firm manufactures devices to treat diabetes-related complications,$1M to $10M,Active,2014,vinayak@yostra.com,Seed,"Health Care, Manufacturing",4,"Maruthy K N, Ram Mohan Rao, Sanjay Sharma, Vinayak Nandalike",1-10,5,—,"₹55,000,000","₹55,000,000",Growing,—,—,—,—,—,3
Shiksha Finance,"Education, Financial Services, Infrastructure","Chennai, Tamil Nadu, India",Shiksha Finance is a RBI licensed non-bank finance company.,$50M to $100M,Active,2014,info@shikshafinance.com,Private Equity,"Education, Financial Services, Other",1,Jacob Abraham,251-500,5,—,"$10,950,350","$33,194,579",Growing,—,"28,447",13576.44%,-61.11%,—,14
Cheelizza,Food and Beverage,"Mumbai, Maharashtra, India","Cheelizza – India Ka Pizza, a pure vegetarian pizza chain from Mumbai.",—,Active,2014,—,—,Food and Beverage,—,—,—,—,—,"₹41,100,000","₹41,100,000",—,—,—,—,—,—,—
LimeTray,"Business Development, Email Marketing, Local Business","Gurgaon, Haryana, India",LimeTray is a web-presence and web-marketing platform for local businesses.,—,Active,2013,info@limetray.com,—,"Professional Services, Sales and Marketing",2,"Akhilesh Bali, Piyush Jain",1-10,4,—,"$1,333,863","$1,333,863",Growing,—,"14,042",-66.08%,17.54%,—,697
Chiliad Procons,"Amusement Park and Arcade, Media and Entertainment, Parks","Mumbai, Maharashtra, India",Chiliad Procons specializes in setting up snow and adventure-based amusement theme parks.,Less than $1M,Active,2014,info@chiliadprocons.in,Seed,"Media and Entertainment, Travel and Tourism",1,Prasuk Jain,11-50,1,"₹200,000,000","₹200,000,000",—,—,—,—,—,—,—,—
Qure AI,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device","Andheri, Maharashtra, India",A healthcare technology company that provides automated interpretation of radiology exams and ultrasound scans.,$50M to $100M,Active,2016,careers@qure.ai,Late Stage Venture,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Pooja Rao, Prashant Warier",101-250,4,Late Stage Venture,"$121,000,000","$125,331,847",Growing,High,"16,136",-50.65%,9.63%,22,387
Ultraviolette Automotive,"Automotive, Clean Energy, Electric Vehicle, Sustainability","Bangalore, Karnataka, India",Ultraviolette Automotive is a developer of electric two-wheeler vehicles offering clean energy and sustainable transportation to customers.,$1M to $10M,Active,2016,info@ultraviolette.com,—,"Energy, Sustainability, Transportation",2,"Narayan Subramaniam, Niraj Rajmohan",101-250,8,—,"$69,170,410","$69,170,410",Growing,—,"65,411",7.86%,-17.79%,6,268
Agnikul,"Aerospace, Manufacturing, Nanotechnology","Chennai, Tamil Nadu, India",Agnikul is a space tech startup that manufactures and launches orbital class rockets for micro and nano satellites.,$10M to $50M,Active,2017,humancapital@agnikul.in,Early Stage Venture,"Manufacturing, Science and Engineering",3,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran",51-100,6,Early Stage Venture,"$61,243,144","$61,243,144",Growing,Medium,"7,063",140.48%,5.57%,4,360
Stashfin,"Apps, Banking, Finance, Financial Services, FinTech","New Delhi, Delhi, India","StashFin is a neo-banking platform with a mission to deliver seamless, transparent, and efficient financial services to everyone.",$1M to $10M,Active,2016,support@stashfin.com,Late Stage Venture,"Apps, Financial Services, Lending and Investments, Software",1,Tushar Aggarwal,251-500,6,Late Stage Venture,"$115,000,000","$441,939,321",Growing,—,"122,544",-32.02%,-24.04%,—,297
Jumbotail,"E-Commerce, Food and Beverage, Grocery, Marketplace, Retail","Bangalore, Karnataka, India",Jumbotail is a B2B marketplace and retail platform for food and grocery shopping.,$1M to $10M,Active,2015,mission@jumbotail.com,Late Stage Venture,"Commerce and Shopping, Food and Beverage",2,"Ashish Jhina, Karthik Venkateswaran",1001-5000,10,Late Stage Venture,"$164,690,338","$178,585,440",Growing,High,"34,330",1123.45%,-51.72%,—,168
Breathe Well-being,"Diabetes, Fitness, Health Care, mHealth, Wellness","New Delhi, Delhi, India",Breathe Wellbeing is a health tech startup that helps people manage and prevent type 2 diabetes.,$10M to $50M,Active,2015,info@breathewellbeing.in,Early Stage Venture,"Health Care, Mobile, Sports",2,"Aditya Kaicker, Rohan Verma",51-100,4,Early Stage Venture,"$12,804,600","$12,804,600",—,—,"158,339",28.05%,-25.02%,—,"1,061"
Ugaoo,"Agriculture, Communities, E-Commerce, Internet","Pune, Maharashtra, India",Ugaoo is an all-green online portal catering to all gardening and farming needs along with a community to share credible knowledge.,$10M to $50M,Active,2015,support@ugaoo.com,Early Stage Venture,"Agriculture and Farming, Commerce and Shopping, Community and Lifestyle, Internet Services",1,Siddhant Bhalinge,11-50,4,Early Stage Venture,"$8,048,741","$8,048,741",Growing,—,"166,776",-25.45%,55.03%,—,524
ZunRoof,"Clean Energy, CleanTech, Energy, Environmental Consulting, Renewable Energy, Solar","Gurgaon, Haryana, India",ZunRoof is a home-tech startup bringing smart and clean energy for solar rooftop systems.,$1M to $10M,Active,2016,gosolar@zunroof.com,—,"Energy, Natural Resources, Professional Services, Sustainability",3,"Kartik Marwah, Pranesh Chaudhary, Sushant Sachan",51-100,6,—,"$7,017,595","$7,017,595",—,—,"4,291",-9.59%,-74.91%,—,73
smallcase,"Financial Services, Stock Exchanges, Wealth Management","Bangalore, Karnataka, India",smallcase is a wealth management startup that focuses on equitable investing in India.,$1M to $10M,Active,2015,—,Late Stage Venture,"Financial Services, Lending and Investments",3,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath",251-500,5,Late Stage Venture,"$62,000,000","$62,000,000",Growing,High,"1,429,547",-0.12%,-18.22%,—,368
IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate","Bengaluru, Karnataka, India",IndiQube is a provider of co-working spaces based in Bengaluru.,$50M to $100M,Active,2015,marketing@indiqube.com,Early Stage Venture,"Administrative Services, Real Estate",2,"Meghna Agarwal, Rishi Das",251-500,2,Early Stage Venture,"$45,000,000","$45,000,000",Growing,High,"4,228",-1.01%,-72.14%,—,90
Licious,"Delivery Service, E-Commerce, Food and Beverage, Food Delivery","Bengaluru, Karnataka, India",Licious is an online meat and seafood ordering startup that follows an end-to-end business.,$100M to $500M,Active,2015,talktous@licious.in,Late Stage Venture,"Commerce and Shopping, Food and Beverage, Transportation",3,"Abhay Hanjura, Varun Sadana, Vivek Gupta",1001-5000,10,Late Stage Venture,"$489,540,779","$489,540,779",—,—,"735,680",31.63%,172.15%,—,"2,150"
Recykal,"Information Technology, Software","Hyderabad, Andhra Pradesh, India",Recykal is an Indian clean-tech startup powering the largest Circular Economy Marketplace in Asia.,$10M to $50M,Active,2016,support@recykal.com,Early Stage Venture,"Information Technology, Software",5,"Abhay Deshpande, Abhishek Deshpande, Anirudha Jalan, Ekta Narain, Vikram Prabakar",251-500,4,Early Stage Venture,"$44,547,387","$44,547,387",Growing,High,"32,188",218.66%,226.77%,—,415
Fittr,"Fitness, Health Care, Wellness","Pune, Maharashtra, India",Fittr is a health and wellness startup offering personalized online coaching in fitness and nutrition.,$1M to $10M,Active,2016,—,—,"Health Care, Sports",5,"Bala Krishna Reddy Dabbedi, Jitendra Chouksey, Jyoti Sehrawat Dabas, Rohit Chattopadhyay, Sonal Singh",101-250,4,—,"$16,842,859","$16,842,859",—,—,"241,522",-11.65%,-73.13%,0,140
WheelsEye,"Information Services, Information Technology","Gurgaon, Haryana, India",WheelsEye is an investment in logistics-tech startup.,$1M to $10M,Active,2017,—,—,Information Technology,2,"Anshul Mimani, Manish Somani",1001-5000,1,—,"₹70,000,000","₹70,000,000",Growing,High,"334,918",10.75%,-30.92%,—,"1,200"
