Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
"Pai, Bhattacharyya and Bhasin Solutions",Media and Entertainment,Assam,$100M to $500M,Active,2017,Series C,Media,2,"Lopa Chopra, Amara Palla",501-1000,0,Seed,$1M to $5M,High,High,1545080,239.71804848310222,4024.492989672942,0,41
Reddy PLC Technologies,Science and Technology,Haryana,$1B to $10B,Active,2024,Seed,Technology,3,"Niharika Soni, Radha Parikh, Janaki Sandal",11-50,4,M&A,$100M to $500M,High,Low,1028170,462.4591566498808,6914.828374565224,5,1430
Nath PLC Pvt Ltd,Metals and Mining,Bihar,$1M to $10M,Active,2018,Series B,Mining,2,"Owen Som, Tamanna Parekh",251-500,1,M&A,$1M to $5M,High,Low,1753124,1070.1835963235308,6668.086900715661,2,1962
Kari and Sons Solutions,E-Commerce,Chhattisgarh,$1M to $10M,Active,2017,Series A,Commerce,1,Megha Munshi,51-100,1,Seed,$50M to $100M,Medium,Medium,216083,1033.854934703754,3778.2122776503934,3,2330
Naik-Kakar Technologies,Ports,Bihar,$100M to $500M,Active,2020,Series B,Transportation,2,"Laksh Seth, Edhitha Shroff",1-10,7,Growing,$0 to $1M,Growing,High,1546897,450.9030698067602,8708.324628938477,8,2246
"Dyal, Johal and Rai Labs",Medical Devices,Meghalaya,$1B to $10B,Active,2020,Seed,Healthcare,2,"Qadim Wali, Wyatt Atwal",51-100,2,Seed,$5M to $10M,High,Low,627743,1095.3102434906389,7040.855071886066,10,1222
Kala Inc Labs,Oil and Gas,West Bengal,Less than $1M,Closed,2022,Seed,Energy,4,"Ojas Shankar, Damyanti Dora, Maanas Bawa, Bachittar Sankaran",1-10,0,Seed,$0 to $1M,Medium,Low,7861,-47.47590473942422,5319.5216699383855,1,1991
Narasimhan-Deep Innovations,Insurance,Bihar,$10M to $50M,Closed,2022,Series A,Financial Services,5,"Anay Dhaliwal, Hemangini Loke, Tara Sahni, Gauri Ratta, Chakradev Mittal",11-50,1,Seed,$0 to $1M,High,Low,45565,-30.933944430091188,7308.919052989893,0,372
Bahri-Ahluwalia Innovations,Healthcare,Goa,$1M to $10M,Closed,2018,Seed,Healthcare,5,"Odika Issac, Vanya Patel, Bhavani Saxena, Sneha Kothari, Jalsa Devi",1-10,0,Seed,$0 to $1M,High,Low,2504,-10.808136901209906,9865.26951577183,2,2256
Rajan-Muni Innovations,Banking,Arunachal Pradesh,$10M to $50M,Active,2022,Series B,Financial Services,4,"Balhaar Sodhi, Anay Virk, Chandran Wason, Saumya Sastry",1001-5000,6,Growing,$1M to $5M,Medium,Medium,433956,1005.7519152292696,7048.488908954977,2,8
Karnik-Savant Solutions,Steel,Andhra Pradesh,$10M to $50M,Active,2020,IPO,Manufacturing,2,"Charles Kulkarni, Manthan Muni",1001-5000,3,Early Stage Venture,$50M to $100M,Growing,High,1786534,1907.995769009195,6667.64899209943,7,1168
"Prabhakar, Wason and Bhardwaj Labs",Pharmaceuticals,Himachal Pradesh,$50M to $100M,Active,2019,IPO,Pharmaceuticals,1,Bhanumati Sandal,1001-5000,6,Growing,$10M to $50M,Medium,High,1659264,-51.85436731220805,4271.450843985806,3,572
"Aggarwal, Thaker and Purohit Labs",Electric Vehicle,Sikkim,$10M to $50M,Active,2017,Series B,Automotive,5,"Anirudh Kala, Yatin Kuruvilla, Chakradev Rastogi, Urvashi Nath, Aishani Kale",101-250,4,M&A,$10M to $50M,Growing,Low,17804,1580.071049200958,5515.248133340777,2,1080
"Chakraborty, Kaur and Singhal Technologies",Ayush,Punjab,$50M to $100M,Active,2017,Series C,Healthcare,1,Sanaya Mandal,501-1000,4,Seed,$10M to $50M,Growing,Low,1508932,1381.8465411855389,7579.720515938387,5,990
"Virk, Korpal and Bhandari Labs",Media and Entertainment,Jammu and Kashmir,$10B+,Active,2020,Series C,Media,2,"Champak Prashad, Siya Bhandari",51-100,2,Early Stage Venture,$1M to $5M,Medium,Low,1415441,852.779071536597,3948.5008942358213,7,993
Shukla-Dhar Solutions,MSME,Meghalaya,$1M to $10M,Closed,2017,Seed,Small Business,1,Jackson Hari,1-10,0,Seed,$0 to $1M,Growing,Low,1084,-52.52528938643402,7736.7131675221835,1,2291
Bora Ltd Innovations,Paper & Packaging,Tamil Nadu,$1B to $10B,Active,2021,Series B,Packaging,1,Zayyan Krishnamurthy,101-250,3,Growing,$50M to $100M,Growing,Low,1865115,1692.5733886079672,4241.855554600628,7,647
"Chawla, Dalal and Sridhar Technologies",Telecommunications,Karnataka,$1M to $10M,Active,2023,Seed,Telecommunications,2,"Praneel Oommen, Libni Mammen",1001-5000,1,Growing,$1M to $5M,Growing,Low,12515,1664.9773870338258,2190.4560904667237,10,1777
Kar-Kunda Solutions,Textiles,Assam,$100M to $500M,Active,2020,Series C,Textiles,4,"Ishani Nagi, Chakrika Kala, Onveer Korpal, Kai Krishnan",101-250,3,Early Stage Venture,$0 to $1M,Growing,Low,1598685,1667.2512154440553,2458.1666015535266,9,9
Raghavan Inc Pvt Ltd,Electronics System Design & Manufacturing,Haryana,Less than $1M,Closed,2022,Seed,Electronics,5,"Aradhana Roy, Bhavna Keer, Timothy Kant, Jack Kanda, Ishita Prashad",11-50,0,Seed,$0 to $1M,High,Low,4348,-19.38692396084049,2372.418252819966,10,357
Yadav LLC Pvt Ltd,Electronics System Design & Manufacturing,Chhattisgarh,$1B to $10B,Active,2023,IPO,Electronics,3,"Shravya Dhillon, Jeremiah Cheema, Wishi De",101-250,3,M&A,$10M to $50M,High,High,1632211,-5.319272488448831,3356.9611137520765,4,1666
Ray Group Solutions,FMCG,Maharashtra,$1M to $10M,Active,2022,IPO,Consumer Goods,1,Baghyawati Dyal,251-500,3,Seed,$50M to $100M,High,Low,1271124,155.06921345989738,3459.01926972769,9,122
Sehgal Group Labs,FMCG,Nagaland,$50M to $100M,Active,2022,Seed,Consumer Goods,2,"Mohini Deol, Tamanna Edwin",101-250,1,Seed,$0 to $1M,High,High,972474,664.485187806887,732.6609187116244,9,88
"Kumar, Anne and Chandran Technologies",Engineering and Capital Goods,Madhya Pradesh,$100M to $500M,Active,2020,Series B,Engineering,1,Yatan Dara,101-250,6,Growing,$10M to $50M,Medium,Medium,1405419,1370.6364699591422,6102.5247011285555,9,536
Hayre-Din Technologies,Defence Manufacturing,Manipur,$100M to $500M,Active,2017,Series C,Defence,1,Zehaan Singh,1001-5000,6,M&A,$100M to $500M,Medium,Low,278877,683.1284582454972,4921.655806851696,3,297
Mammen and Sons Pvt Ltd,Electronics System Design & Manufacturing,Odisha,Less than $1M,Closed,2024,Seed,Electronics,2,"Champak Sinha, Veer Pai",1-10,0,Seed,$0 to $1M,High,Low,771,-94.39896381477637,6126.931601152606,1,1843
"Kunda, Sami and Raju Solutions",Textiles,Uttarakhand,$1M to $10M,Active,2018,IPO,Textiles,2,"Ekalinga Dubey, Zaid Jayaraman",1001-5000,7,Growing,$0 to $1M,Medium,High,1865716,1917.3756775981706,4127.746678613047,4,460
Bains PLC Pvt Ltd,Retail,Goa,Less than $1M,Closed,2024,Series A,Commerce,1,Jyoti Tandon,1-10,2,Seed,$0 to $1M,Medium,Medium,29158,-60.215391257463665,1738.7082836054099,2,2274
Anne Group Pvt Ltd,Ports,West Bengal,$50M to $100M,Active,2019,Series C,Transportation,3,"Aashi Iyer, Lohit Prabhu, Tripti Pandya",101-250,7,Early Stage Venture,$10M to $50M,High,High,1566336,854.3618630358744,8055.273853998492,6,1834
Doshi and Sons Pvt Ltd,Science and Technology,Manipur,$1M to $10M,Active,2019,IPO,Technology,1,Amara Palla,51-100,4,Seed,$10M to $50M,High,Medium,75946,920.8714017346906,2282.0421570366475,5,2072
"Shetty, Thakkar and Dasgupta Technologies",Real Estate,Nagaland,$50M to $100M,Active,2018,Series A,Real Estate,2,"Suhani Ben, Mohammed Samra",1-10,2,Growing,$1M to $5M,Medium,Low,536354,1208.4958300276653,769.7997839229217,3,2038
Khare and Sons Innovations,Paper & Packaging,Punjab,$1M to $10M,Closed,2020,Seed,Packaging,3,"Jackson Mandal, Bhavini Savant, Yamini Kade",1-10,0,Seed,$0 to $1M,High,Low,9249,-24.454077794039208,3228.9792027907574,3,1263
Upadhyay-Baria Innovations,Oil and Gas,Meghalaya,$50M to $100M,Active,2018,Series A,Energy,5,"Arya Nazareth, Sai Sood, Lavanya Bedi, Baljiwan Patil, Gaurav Rastogi",1001-5000,0,Seed,$10M to $50M,High,Low,1867832,1844.845153746861,6058.7610696204565,6,2419
Dubey PLC Pvt Ltd,Renewable Energy,Andhra Pradesh,Less than $1M,Closed,2023,Seed,Energy,3,"Onveer Ratta, Irya Gole, Chanakya Anne",51-100,0,Seed,$0 to $1M,High,Medium,12329,-81.59736734692547,3994.9646013573633,9,812
Peri and Sons Labs,FMCG,Himachal Pradesh,$50M to $100M,Active,2022,Seed,Consumer Goods,2,"Anya Bumb, Ishanvi Dugal",1-10,5,Growing,$100M to $500M,High,High,906383,1204.4709291653382,5456.320767464292,0,329
Choudhry-Murthy Solutions,Auto Components,Bihar,$1B to $10B,Active,2020,Series B,Automotive,1,Ganga Mandal,51-100,3,Growing,$100M to $500M,High,Medium,354145,-90.10334930068488,7841.395601868567,4,1838
Mitra-Oommen Pvt Ltd,Engineering and Capital Goods,Bihar,$1M to $10M,Active,2024,IPO,Engineering,3,"Ikshita Kala, Ekanta Patil, Yasti Bhatia",501-1000,3,M&A,$50M to $100M,Medium,Low,1372024,1660.9655962867382,4020.5205210930326,2,1886
Saini and Sons Labs,Power,Mizoram,$100M to $500M,Active,2017,Seed,Energy,1,Lajita Kumer,101-250,6,Seed,$50M to $100M,Growing,High,1493786,1902.9885559905997,3064.7627734715625,1,2196
Palan-Krishnan Labs,Automobiles,Arunachal Pradesh,Less than $1M,Active,2018,Seed,Automotive,1,Jatin Swamy,101-250,4,Early Stage Venture,$100M to $500M,High,Medium,912827,1732.8384136912073,4239.3534502670545,9,14
Madan Ltd Innovations,IT & BPM,Sikkim,$10B+,Active,2020,IPO,Information Technology,3,"Bina Upadhyay, Vrinda Balan, Gauri Mannan",251-500,2,Growing,$5M to $10M,High,Low,1434618,305.2847042462143,5113.269368485268,3,2256
Kant Ltd Innovations,Textiles,Bihar,$1B to $10B,Active,2022,Seed,Textiles,1,Yuvraj Lala,51-100,4,Early Stage Venture,$5M to $10M,Growing,Medium,998262,727.6969694823883,1694.0132575115128,2,512
Ratti and Sons Labs,Engineering and Capital Goods,Jharkhand,Less than $1M,Closed,2024,Seed,Engineering,2,"Wriddhish Oak, Mason Madan",11-50,0,Seed,$0 to $1M,Growing,Low,2000,-63.29596556021498,5211.970118551836,3,1979
Guha-Gaba Solutions,MSME,Odisha,$10M to $50M,Closed,2019,Seed,Small Business,1,Ekbal Varughese,1-10,0,Seed,$1M to $5M,High,Low,28945,37.94154293764382,8449.902785648432,6,2238
"Nagy, Gokhale and Misra Technologies",Aviation,Bihar,$1M to $10M,Closed,2019,Seed,Transportation,2,"Panini Mitter, Aishani Mangal",11-50,1,Early Stage Venture,$1M to $5M,High,Low,29723,26.83097962082799,3826.8798919754468,0,1056
Rajan LLC Innovations,Telecommunications,Maharashtra,$1B to $10B,Active,2017,Seed,Telecommunications,5,"Bina Bhasin, Tristan Shanker, Kashish Shenoy, Jagvi Talwar, Siya Bhandari",1-10,4,Seed,$1M to $5M,High,High,120238,945.2495411393168,5473.136564664472,0,79
Mann Group Innovations,Telecommunications,Kerala,$100M to $500M,Active,2017,IPO,Telecommunications,2,"Keya Kara, Girindra Garde",101-250,1,Early Stage Venture,$0 to $1M,High,High,1075263,69.45630631215792,2519.414432029966,10,326
"Narain, Badal and Peri Solutions",Financial Services,Chhattisgarh,$10M to $50M,Active,2017,Series B,Financial Services,2,"Bhavani Rajagopal, Xavier Ratta",101-250,4,Early Stage Venture,$1M to $5M,Growing,Low,1470925,144.78372464983397,7055.809906445543,4,1046
"Choudhury, Sampath and Bose Pvt Ltd",MSME,Manipur,$1M to $10M,Active,2020,Seed,Small Business,5,"Anita Mistry, Akshay Sanghvi, Devansh Mistry, Mitali Arya, Patrick Vora",251-500,3,Growing,$100M to $500M,Growing,Medium,1264558,492.61108023528743,8892.239542511421,9,1733
Murty Ltd Solutions,IT & BPM,Meghalaya,$50M to $100M,Active,2021,IPO,Information Technology,1,Udarsh Nagy,501-1000,7,Early Stage Venture,$100M to $500M,High,Medium,294142,1778.5166176081452,9114.263211127589,8,442
Suri-Varughese Pvt Ltd,IT & BPM,Bihar,Less than $1M,Active,2018,Seed,Information Technology,1,Udarsh Khurana,101-250,6,M&A,$0 to $1M,Growing,Low,1765781,1101.4420300066324,6292.489928994246,2,1139
Sethi-Sule Labs,Retail,Tamil Nadu,$1M to $10M,Closed,2020,Seed,Commerce,3,"Vanya Zachariah, Jack Lala, Gayathri Ramachandran",11-50,0,Seed,$0 to $1M,Growing,Low,5471,-61.26443341736301,5844.20296105669,2,42
Rau Ltd Solutions,Food Processing,Rajasthan,$10M to $50M,Active,2018,Series A,Food and Beverage,5,"Agastya Kulkarni, Divya Seth, Dayamai Naidu, Dayamai Chawla, Nirja Ramakrishnan",101-250,7,Seed,$0 to $1M,Medium,Medium,1506362,454.2869680351689,6982.390309094661,1,1284
Balay LLC Labs,Automobiles,Andhra Pradesh,$1M to $10M,Closed,2017,Seed,Automotive,1,Hemang Ahluwalia,11-50,0,Seed,$0 to $1M,Growing,Low,5921,-47.28539003824736,4268.1595257477,2,750
Dhawan LLC Labs,Gems and Jewellery,Sikkim,$1M to $10M,Closed,2020,Seed,Luxury Goods,1,Dominic Edwin,51-100,2,Early Stage Venture,$0 to $1M,High,Low,20034,-66.96413381314056,8282.618286710527,9,195
Bath-Nath Pvt Ltd,Gems and Jewellery,Jammu and Kashmir,$1M to $10M,Active,2020,Series C,Luxury Goods,1,Nidhi Dhillon,11-50,1,Growing,$0 to $1M,Medium,Medium,1340075,884.7450871796727,2534.9761021109916,4,1701
Deep-Sule Innovations,Retail,Kerala,$100M to $500M,Active,2023,IPO,Commerce,1,Lekha Sengupta,501-1000,4,Early Stage Venture,$50M to $100M,Growing,Low,1314501,1826.4600641895609,855.4988333663622,0,2334
"Badal, Yohannan and Ramaswamy Pvt Ltd",Infrastructure,Manipur,$10B+,Active,2018,Series A,Infrastructure,5,"Arin Parikh, Theodore Baria, Shivani Doctor, Unni Master, Rajeshri Baral",251-500,4,Seed,$5M to $10M,Growing,High,1885226,1740.716399327272,7038.300471227962,10,1609
"Warrior, Oak and Nori Pvt Ltd",E-Commerce,Mizoram,$1M to $10M,Closed,2024,Seed,Commerce,5,"Yashasvi Sekhon, Nirja Bhakta, Gautam Contractor, Aarnav Bassi, Charita Bora",11-50,0,Seed,$0 to $1M,High,Low,5817,-87.72901455383396,4440.353641148951,9,154
Radhakrishnan and Sons Innovations,Electronics System Design & Manufacturing,Uttar Pradesh,$1M to $10M,Closed,2017,Seed,Electronics,1,Urvashi Kala,1-10,0,Seed,$0 to $1M,High,Low,6396,-85.42590904912791,5843.176351234059,3,1567
"Butala, Kaur and Mutti Innovations",Manufacturing,Maharashtra,$10B+,Active,2019,IPO,Manufacturing,5,"Jairaj Mitra, Hamsini Ravel, Lakshmi Ranganathan, Avi Dey, Dalaja Sagar",1-10,7,Growing,$5M to $10M,Medium,Medium,1814557,1778.6222205219315,7796.449787170096,2,1194
"Banik, Pandey and Tailor Innovations",Cement,Mizoram,Less than $1M,Closed,2020,Series A,Construction,4,"Zinal Mane, Daksh Kant, Nathaniel Deo, Anusha D’Alia",11-50,2,Early Stage Venture,$0 to $1M,High,Medium,42606,43.02928947821914,7071.173077593062,9,2078
Palla-Barad Innovations,Biotechnology,Bihar,$1M to $10M,Closed,2020,Seed,Biotechnology,4,"Libni Sastry, Manya Mahal, Janani Khalsa, Upasna Sunder",1-10,0,Seed,$0 to $1M,Medium,Low,4162,-34.443921073381574,6147.0771214668885,1,1363
Lall and Sons Pvt Ltd,Healthcare,Assam,$100M to $500M,Active,2020,Series B,Healthcare,4,"Hritik Mital, Mekhala Kannan, Nikita Bawa, Lipika Comar",101-250,3,Early Stage Venture,$100M to $500M,Medium,High,628437,788.7715311326297,9645.743524003108,9,922
Sachdev and Sons Pvt Ltd,Services,Kerala,$1M to $10M,Closed,2020,Seed,Services,2,"Xiti Sachdev, Tara Reddy",11-50,0,Seed,$0 to $1M,High,Low,8481,-20.384146808370147,2423.7725061425945,2,128
Wagle-Hora Solutions,Automobiles,Uttarakhand,Less than $1M,Closed,2020,Series A,Automotive,5,"Yoshita Choudhury, Lucky Sarna, Ishwar Sheth, Oviya Padmanabhan, Urvi Pal",11-50,2,Early Stage Venture,$1M to $5M,High,Low,25355,-73.65951810506638,3829.790766076684,0,1640
"Goel, Sheth and Shere Labs",Renewable Energy,West Bengal,$50M to $100M,Active,2018,Series C,Energy,1,Tanmayi Pau,11-50,2,M&A,$5M to $10M,Growing,Medium,973625,1288.1693768038874,5157.477601225924,6,1868
Murty and Sons Innovations,Steel,Tamil Nadu,$10M to $50M,Active,2017,Series A,Manufacturing,4,"Saumya Singh, Eiravati Choudhury, Libni Sama, Bhavani Jain",1001-5000,2,Growing,$0 to $1M,High,Medium,539237,1798.9840208248345,9829.756198847317,2,2115
Chatterjee-Lal Solutions,Financial Services,Himachal Pradesh,$1M to $10M,Active,2020,Series B,Financial Services,4,"Om Varma, Neel Mangat, Tanay Rege, Lekha Bhatia",251-500,3,Early Stage Venture,$1M to $5M,Growing,Low,1790739,100.65094942239884,9677.361812960677,9,1900
Talwar-Kade Technologies,Infrastructure,Andhra Pradesh,$1M to $10M,Active,2019,Series A,Infrastructure,1,Pranit Kalita,1001-5000,5,M&A,$100M to $500M,Growing,High,62854,1591.4287929294305,3278.496869724757,3,2010
Borah-Raja Solutions,Oil and Gas,Goa,$1M to $10M,Closed,2017,Seed,Energy,5,"Mahika Bhalla, Urishilla Soni, Abeer Tank, Avni Johal, Onkar Jain",1-10,0,Seed,$0 to $1M,Growing,Low,7646,-34.113549788488456,7515.989555332764,7,2384
Rama-Sachdev Pvt Ltd,Textiles,Haryana,$50M to $100M,Active,2020,Series C,Textiles,2,"Kashish Varughese, Aarna Aggarwal",11-50,0,Early Stage Venture,$1M to $5M,Medium,Medium,391444,-96.10664629764148,5645.200813751985,9,279
"Kapur, Ramakrishnan and Sood Technologies",Automobiles,Mizoram,$1M to $10M,Active,2024,Seed,Automotive,4,"Anya Grover, Kamala Kota, Abeer Issac, Zayyan Kar",251-500,7,Growing,$0 to $1M,High,High,1183330,673.9133292080127,4366.875862936323,4,60
Balakrishnan-Baral Pvt Ltd,Oil and Gas,Haryana,Less than $1M,Closed,2024,Series A,Energy,2,"Ekaraj Nair, Azaan Vaidya",51-100,1,Early Stage Venture,$0 to $1M,Medium,Low,20204,-81.75669043677333,3523.5187714801364,4,1923
"Mohan, Bawa and Morar Pvt Ltd",Roads,Arunachal Pradesh,$1M to $10M,Closed,2021,Seed,Infrastructure,1,Omaja Bajaj,11-50,0,Seed,$0 to $1M,Growing,Low,2640,-5.122030926202058,248.8135584255465,3,1203
Shanker LLC Solutions,Roads,Meghalaya,Less than $1M,Closed,2018,Seed,Infrastructure,2,"Ethan Shukla, Frado Dhawan",1-10,0,Seed,$0 to $1M,Growing,Low,7530,-91.25927483799414,3660.65172523396,9,437
"Ramanathan, Buch and Chanda Labs",Food Processing,West Bengal,$50M to $100M,Active,2019,Seed,Food and Beverage,1,Vasatika Bala,1001-5000,4,M&A,$10M to $50M,High,Low,90126,1783.3292180520523,1044.8644877969766,4,946
"Yohannan, Ramanathan and Tella Pvt Ltd",Consumer Durables,Arunachal Pradesh,$1B to $10B,Active,2022,Series C,Consumer Goods,3,"Rushil Nagarajan, Adya Saini, Praneel Malhotra",1001-5000,2,Seed,$1M to $5M,Growing,High,1545197,1372.0055444983218,7670.489765314791,7,2282
Mangal LLC Innovations,Manufacturing,Sikkim,$1M to $10M,Active,2017,Series B,Manufacturing,2,"Nilima Mand, Matthew Dubey",501-1000,0,M&A,$10M to $50M,Growing,Low,1053028,1465.7122718700355,2324.170139627781,8,1869
"Krish, Hayer and Jaggi Pvt Ltd",FMCG,Assam,$1B to $10B,Active,2021,Series B,Consumer Goods,1,Jagvi Kanda,1001-5000,2,Early Stage Venture,$5M to $10M,Medium,Low,680229,-0.40369782941512256,1331.277011729063,7,1207
Chowdhury-Bhagat Pvt Ltd,Metals and Mining,Sikkim,Less than $1M,Active,2023,Series B,Mining,3,"Manthan Pall, Owen Dua, Kala Korpal",11-50,3,Growing,$0 to $1M,Growing,Low,772232,1749.9497798789037,3615.824077301537,7,1132
Bobal-Gola Pvt Ltd,Gems and Jewellery,Odisha,$10M to $50M,Active,2019,Seed,Luxury Goods,1,Jack Ganesh,1-10,4,Early Stage Venture,$0 to $1M,Medium,Low,1754972,104.70374234111193,995.7343147688516,5,2318
Gole Ltd Technologies,Steel,Mizoram,Less than $1M,Closed,2021,Seed,Manufacturing,3,"Ridhi Walla, Shivansh Sen, Janaki Vasa",1-10,0,Seed,$0 to $1M,Growing,Low,1065,-15.990006294136663,2273.657310339028,1,1096
Majumdar-Natt Innovations,Oil and Gas,Sikkim,$1M to $10M,Closed,2018,Seed,Energy,2,"Charles Das, Luke Prabhakar",1-10,0,Seed,$0 to $1M,High,Low,6102,-47.189471142740416,3067.7620751938593,6,1708
Bali-Kaur Labs,Electronics System Design & Manufacturing,Tamil Nadu,$1M to $10M,Active,2020,Series B,Electronics,3,"Zarna Uppal, Aarush Singh, Timothy Sachdev",1001-5000,5,Early Stage Venture,$1M to $5M,Medium,High,893771,1269.0885764227794,2557.4411887991323,9,2404
"Nagar, Merchant and Pant Solutions",Retail,Tamil Nadu,$10B+,Active,2024,Series A,Commerce,5,"Ekani Sem, Mohini Dhawan, Unni Pau, Anamika Comar, Girish Prakash",251-500,4,Early Stage Venture,$1M to $5M,Growing,Low,1562891,1472.597303398249,3302.830661547135,0,2093
"Chand, Walla and Konda Technologies",Roads,Gujarat,$10B+,Active,2024,Seed,Infrastructure,2,"Abhimanyu Kalla, Chaman Deol",101-250,6,Early Stage Venture,$100M to $500M,High,Medium,1693301,1075.1541568249668,5617.043660629511,9,1311
Mistry Ltd Labs,Manufacturing,Jammu and Kashmir,$50M to $100M,Active,2019,Series B,Manufacturing,1,Aadhya Kota,501-1000,6,Early Stage Venture,$10M to $50M,Medium,Medium,1120783,1739.7483223169959,942.4103400308236,5,2349
"Vig, Gera and Bandi Solutions",IT & BPM,Madhya Pradesh,$50M to $100M,Active,2020,Series C,Information Technology,1,Aashi Korpal,11-50,2,Growing,$50M to $100M,Medium,Medium,373961,-58.471137343368326,5631.07587664283,9,450
Dey Group Pvt Ltd,Education and Training,Arunachal Pradesh,Less than $1M,Closed,2022,Seed,Education,5,"Bhavini Thakkar, Yashawini Behl, Yagnesh Dhillon, Sachi Bera, Yochana Rama",1-10,0,Seed,$0 to $1M,High,Low,3549,-91.59439361836857,5964.13437020829,7,1159
Grewal Inc Pvt Ltd,FMCG,Sikkim,$10B+,Active,2017,IPO,Consumer Goods,2,"Rehaan Prabhu, Bina Dalal",251-500,6,Early Stage Venture,$50M to $100M,Medium,Low,225378,-2.3802412051207966,9526.281042764613,1,1248
"Bains, Jayaraman and Raghavan Pvt Ltd",Metals and Mining,Uttar Pradesh,Less than $1M,Active,2022,Seed,Mining,1,Dipta Lal,1-10,3,M&A,$100M to $500M,High,Low,32651,1678.5315655805036,9794.331464303947,4,1687
Rai-Mistry Labs,Food Processing,Haryana,$10B+,Active,2020,Series A,Food and Beverage,1,Vrishti Devi,51-100,5,M&A,$100M to $500M,Growing,High,1485246,1661.9945923206576,8475.514447427417,2,932
Chandran Ltd Labs,Food Processing,Madhya Pradesh,$10B+,Active,2024,Series A,Food and Beverage,5,"Naveen Dubey, Yashica Pall, Manan Bhardwaj, Kala Kade, Mohammed Kanda",101-250,3,M&A,$5M to $10M,Growing,High,178166,1023.5322707735418,8416.308388228552,6,2224
"Memon, Kannan and Gupta Pvt Ltd",Science and Technology,Arunachal Pradesh,$1B to $10B,Active,2023,IPO,Technology,3,"Charita Narasimhan, Unnati Mani, Chandani Banerjee",501-1000,2,Growing,$100M to $500M,High,Low,264170,264.61418917390984,868.940546703197,8,278
Bose-Reddy Innovations,Medical Devices,Meghalaya,$1M to $10M,Closed,2020,Seed,Healthcare,1,Laksh Baria,11-50,0,Seed,$0 to $1M,Growing,Low,6969,-92.14927719204633,2221.5620918571644,0,2377
"Mitra, Das and Sachdev Solutions",Telecommunications,Mizoram,$1M to $10M,Active,2019,Series C,Telecommunications,1,Manan Deo,101-250,0,Early Stage Venture,$100M to $500M,High,Low,1857659,626.7758342332207,2970.8226865622723,2,708
"Raja, Som and Memon Labs",Oil and Gas,West Bengal,$10M to $50M,Active,2024,Series B,Energy,5,"Balendra Comar, Bhavika Dash, Dayamai Sarma, Jeremiah Raman, Upadhriti Master",1001-5000,4,Early Stage Venture,$100M to $500M,Medium,Low,843486,236.0193770014227,1749.3295835294125,1,2408
Agarwal Inc Innovations,Defence Manufacturing,Tamil Nadu,$10M to $50M,Active,2023,Series C,Defence,1,Leena Luthra,51-100,0,M&A,$50M to $100M,Medium,Medium,461761,603.052062272142,7630.041882024341,5,1840
Sura-Varughese Pvt Ltd,Chemicals,Manipur,$10M to $50M,Active,2024,Series C,Chemicals,4,"Sara Naik, Tarak Oak, Ekavir Shere, Guneet Mishra",1-10,2,Growing,$100M to $500M,Medium,High,1784191,216.4394261423675,1982.6657432494103,6,1091
"Dhaliwal, Taneja and Srivastava Solutions",Cement,Maharashtra,Less than $1M,Closed,2020,Seed,Construction,2,"Tanveer Bumb, Janaki Dube",1-10,0,Seed,$0 to $1M,Growing,Low,914,-32.854031557762255,7118.560687107341,3,951
Bora-Munshi Innovations,Insurance,Chhattisgarh,$50M to $100M,Active,2017,Series C,Financial Services,1,Lajita Gandhi,101-250,7,M&A,$100M to $500M,Medium,Medium,875039,1537.6537280378154,1806.5043195318733,0,1445
Vaidya PLC Labs,Power,Karnataka,$1M to $10M,Active,2022,Seed,Energy,4,"Upma Borde, Caleb Dhar, Jeremiah Pall, Widisha Khanna",51-100,5,Early Stage Venture,$0 to $1M,Growing,Low,173287,116.14478289077158,4344.1080039591925,5,183
Bhalla-Tata Labs,Engineering and Capital Goods,Telangana,$10B+,Active,2020,Series B,Engineering,5,"Aarnav Chadha, Charan Khare, Ekaja Ahluwalia, Amara Ratta, Zaitra Balay",1001-5000,2,Seed,$0 to $1M,Growing,Medium,242650,1116.9497714104073,7635.470945931446,6,737
Keer Ltd Technologies,Medical Devices,Odisha,$10M to $50M,Active,2020,IPO,Healthcare,5,"Yashoda Ratti, Divya Sundaram, Kabir Narayan, Ridhi Cheema, Odika Varkey",1001-5000,0,Growing,$100M to $500M,Medium,Medium,1520749,744.7037040597431,1161.4689380691555,8,1858
Ray-Naidu Innovations,Steel,Uttar Pradesh,$50M to $100M,Active,2020,Series C,Manufacturing,2,"Tanish Nigam, Ishani More",251-500,5,M&A,$5M to $10M,Growing,Low,50905,1360.5353745605014,3125.190970994208,0,612
Virk and Sons Innovations,Chemicals,Andhra Pradesh,$10M to $50M,Active,2024,Series A,Chemicals,1,Jeevika Srinivasan,251-500,4,Growing,$5M to $10M,High,Low,1896271,779.7616081422589,8333.41327467798,1,1457
